id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B000FTHJS2,True,True,calibration_expensive,-2.0,0.0
B000OEFW8W,True,False,cheap,-2.0,0.0
B002HIQWOQ,True,True,calibration_expensive,2.0,0.0
B0057RURUE,True,True,cheap,2.0,0.0
B005B9HHEC,True,True,cheap,2.0,0.0
B006ICBKSU,True,True,calibration_expensive,2.0,0.0
B00A4OM0IW,True,True,cheap,2.0,0.0
B00A7H06NM,True,False,calibration_expensive,-2.0,0.0
B00ACNSD9K,True,False,cheap,-2.0,0.0
B00D9B7FOQ,True,True,cheap,2.0,0.0
B00G5KCOEE,True,False,calibration_expensive,-2.0,0.0
B00G6MWX74,True,True,cheap,2.0,0.0
B00GRI74US,True,False,calibration_expensive,-2.0,0.0
B00I9080Y6,True,True,cheap,2.0,0.0
B00IKIEK14,True,False,cheap,-2.0,0.0
B00KLMFMKK,True,False,calibration_expensive,-2.0,0.0
B00KYAYVPG,True,True,cheap,2.0,0.0
B00NFK3KZO,True,False,cheap,-2.0,0.0
B00RJHWHJO,True,True,calibration_expensive,0.0,0.0
B00RNNYU44,True,True,calibration_expensive,-2.0,0.0
B00RQPX35G,True,False,cheap,-2.0,0.0
B00U5L726O,True,False,calibration_expensive,-2.0,0.0
B00UI87SAE,True,True,cheap,2.0,0.0
B00UVVE95A,True,False,cheap,-2.0,0.0
B00VX9XP1S,True,True,calibration_expensive,2.0,0.0
B00ZB68S9S,True,True,cheap,2.0,0.0
B00ZW3SH1E,True,False,calibration_expensive,-2.0,0.0
B011L8G5E4,True,False,cheap,-2.0,0.0
B014IW97FO,True,False,cheap,-2.0,0.0
B016X3YRKQ,True,True,calibration_expensive,2.0,0.0
B017AUO66Q,True,False,cheap,-2.0,0.0
B01B5BYD2S,True,True,cheap,2.0,0.0
B01BSO2H0W,True,False,calibration_expensive,-2.0,0.0
B01BSO36H0,True,False,cheap,-2.0,0.0
B01CGB0DKC,True,False,calibration_expensive,-2.0,0.0
B01CJ8UHR6,True,True,cheap,0.0,0.0
B01CJOXBXW,True,False,cheap,-2.0,0.0
B01CJPQXRW,True,False,cheap,-2.0,0.0
B01CW6DUTM,True,True,calibration_expensive,2.0,0.0
B01DTGMTKK,True,False,cheap,-2.0,0.0
B01E3MM51C,True,True,calibration_expensive,2.0,0.0
B01E42PI9W,True,True,cheap,2.0,0.0
B01EKRW5S8,True,True,cheap,2.0,0.0
B01EWJMFNO,True,False,calibration_expensive,-2.0,0.0
B01G13Z8UQ,True,False,cheap,-2.0,0.0
B01G7GHX14,True,False,calibration_expensive,-2.0,0.0
B01H02OKBK,True,False,cheap,-2.0,0.0
B01H6P02VS,True,False,cheap,-2.0,0.0
B01HBNZHC4,True,False,calibration_expensive,-2.0,0.0
B01HGR394I,True,True,cheap,0.0,0.0
